date,author_name,rating,title,body,page_number
2026-03-30,Bill B,2,I've been working with Lifeforce for…,"I've been working with Lifeforce for about four months now. I signed up for the subscription, which included a blood draw and a consultation with a PA to review the results.

The initial experience was excellent. The blood draw was done at my home, right on time, and the whole process was smooth and easy. About a week later, I had my consultation with the PA, who walked me through my elevated markers and recommended a supplement protocol.

My main goals were improving sleep (I deal with interrupted sleep), balancing hormones, and supporting muscle recovery. I followed the protocol exactly as prescribed, which included about five supplements over roughly 3–4 months.

After staying fully compliant, I did a follow-up blood test—and unfortunately, my markers were even more elevated than before. That was frustrating and disappointing, especially since I was consistent with everything.

To their credit, the team suggested making adjustments and fine-tuning the protocol, which I appreciate. But at the same time, it's hard to ignore that the results didn't move in the right direction after several months of commitment.

Overall, the service, communication, and convenience were all excellent. The blood draw and consultation process were top-notch. But for me, the outcome is what matters most—and based on my experience so far, I'm not seeing the results I was hoping for.

I share this simply so others know that, while the process is professional and well run, the results aren't guaranteed and may take more trial and error than expected. For now, I'll likely be canceling my subscription.",1
2026-03-24,Reviewer,1,Lifeforce sells pills you don't need,"Lifeforce recommended I take 3 different hormone supplements, as well as testosterone therapy based off their lab results which I had performed at same time as my primary dr. Lifeforce's lab showed much more dramatic results than my primary which should have been my first warning sign. I refused to take most of the supplements and meds the Lifeforce clinician said I needed over a zoom call, but did agree to try DHEA supplementation for 3 months. Now, 3 months later none of my lab results are much different but my life is in shambles after becoming an angry and aggressive jerk on the supplement and not identifying it as the cause in time to protect my loved ones from my severe mood swings, anger and depression that developed. These mood changes, it turns out, are quite common with these supplements and hormone therapies but were never spoken of in my consultation with the clinician aka supplement sales rep. This company is selling pseudo science with real world dangers for individual health outcomes and should be stopped. Go see a real Dr and skip this scam of an operation. I am a healthy 47 male with no history of mood disorders fyi. This company doesn't care about health outcomes—they care about selling supplements and taking your $$.",1
2026-03-22,David Inns,5,Great process,Great process. Solid insight and action plan. I thought I knew a lot about my health but walked away from my consultation with new information and direction. Thank you LifeForce!,1
2026-03-21,Bill & Vivian CORBETT,5,Great providers that guided me in a…,Great providers that guided me in a good direction to improve my overall health. I appreciate it very much.,1
2026-03-18,Kristy Beltran,5,Scheduling the blood draw was quick,"Scheduling the blood draw was quick, and the phlebotomist was gentle and friendly. Results arrived ahead of schedule, and the online dashboard makes everything clear and accessible.",1
2026-03-11,CG,5,very professional,very professional. quality service. I would highly recommend Lifeforce.,1
2026-03-08,Edward Pike,5,Very comprehensive,Very comprehensive,1
2026-03-05,customer,5,Great service,Great service,1
2026-03-02,Rene Moreno,5,I've had a very positive experience…,"I've had a very positive experience with Lifeforce, and especially with Dr. Renae Thomas. What I appreciate most is the balance of data-driven care with thoughtful clinical judgment. The lab review process is thorough, but it doesn't feel algorithmic — it feels individualized.

Dr. Thomas takes the time to explain trends, context, and tradeoffs, which matters to me. I value clinicians who can integrate evidence, physiology, and lived experience, and she does that well. The conversations feel collaborative rather than prescriptive.

For anyone who appreciates structured biomarker tracking combined with a physician who actually listens and thinks critically, I've found this to be a strong fit.",1
2026-02-27,Claire W,5,Great experience and helpful insights in to my health,"I was able to book a blood draw very quickly and at a convenient time for me. My appt with the Clinician was excellent. She was very empathetic, listened and gave great advice. I look forward to reviewing my bloods with her in 6 months time!",1
2026-02-24,customer,5,Great customer service and,"Great customer service and, at least my doctor, was fantastic—-knowledgable, sharp, listened to me, and was a partner in the plan.",1
2026-02-18,Elisabeth,5,Excellent way to monitor your health…,Excellent way to monitor your health and facts to adjust. Ease of blood draws at home. Excellent practitioners who take the time to answer questions and make recommendations. My doctor is great but too busy.,1
2026-02-16,customer eloise,5,enjoyable,"just the fact that everyone took their time with explaining everything, making it easy to understand",1
2026-02-16,john,5,my zoom call with doc was excellent and…,my zoom call with doc was excellent and informative,1
2026-02-12,Bernard May,5,I've had an outstanding experience with LifeForce,"I've had an outstanding experience with Lifeforce the onboarding was seamless, the testing was comprehensive, and the insights were incredibly clear and actionable. What I appreciate most is that you don't just receive lab results; you get a personalized, data-driven roadmap with practical recommendations that actually move the needle on energy, performance, and long-term health. The medical team is knowledgeable, responsive, and truly invested in outcomes, making it feel more like a high-performance health partnership than a typical telehealth service. I highly recommend Lifeforce to anyone serious about optimizing their health with precision and accountability.",1
2026-02-07,Mi,5,This company is excellent,"This company is excellent, they have given me alot of insights, they send phlemotobists to draw blood at my home, on my schedule. Doctors have been fantastic, and I am very happy with suppelements. They also offer additional support from a health coach who also provided insights.",1
2026-02-05,Adam Anderson,5,Lifeforce has been amazing to help my…,Lifeforce has been amazing to help my wife and I get on track with all our health goals. Would recommend to everyone.,1
2026-02-01,Rebecca,5,"“Felt Seen, Supported, and Confident in my care.","I had an excellent experience with Life Force. From the start, the level of care and attention stood out. Emily in customer service was truly outstanding. During a transition from another provider, she gave me a real sense of certainty and helped close the gaps while I was waiting. I never felt forgotten or brushed off.

My clinician was incredibly thorough and confident. She clearly understood what was causing my symptoms and was able to put a thoughtful, actionable plan in place right away. I felt deeply seen, understood, and supported throughout the process.

I left feeling hopeful, cared for, and confident I was in the right hands. Highly recommend.",1
2026-01-28,Debi Kinney,1,Lifeforce is not worth the time or money,"I have been a paying member of Lifeforce for about 2 years and had a great experience until about 6 months ago - scheduling appointments has become increasingly difficult, customer service has drastically declined and the steep price just no longer holds the same value. I was referring friends and clients to this program - now I tell them to stay away and refer them somewhere who cares about their customers, and gives excellent customer service.",1
2026-01-26,Sara Howard,5,Great customer service!,Great customer service!,1
2026-01-26,S P Roma,5,Details Matter,"The detailed review of my biomarkers keeps me in check and keeps me focused. Every little improvement is huge and proof that the testing, supplements, tele-health meetings, and system work.",2
2026-01-22,Elias Balderas,5,Responsive and friendly,Responsive and friendly. Always willing to answer my requests with speed and accuracy.,2
2026-01-21,Peter Gensemer,5,Great experience!!,"My questions for my evaluation were well thought out and easy to follow.Dr. Marino was very helpful, compassionate and informative.Life Force cuts through the ordinary web of confusion regarding health and lifespan",2
2026-01-20,Robert,5,Great review of where I'm at and…,Great review of where I'm at and recommendations on how to improve.,2
2026-01-20,Karen Campbell-Rossen,5,What I like about Lifeforce,What I like about Lifeforce is being supported in wanting to have optimal health appropriate for my age. The 3 month blood check with consultations have been very helpful with moving forward with my health goals. When I need help with any part of the process I have found the response quick and addressing my need.,2
2026-01-19,customer Richard Castano,5,Staff …,"The Doctors and nurses who does the blood draw are great very nice and friendly and very professional, and anyone who I have talked to in life force has been great and very helpful",2
2026-01-19,Andrew Pearson,5,The whole process is not only…,"The whole process is not only convenient but also supportive and educational. When I have an issue, the support team always makes it right. Supporting my health with nutrition paired with pharmaceuticals I'm feeling the best I have in years. Being able to track my bio markers helps keep me on track and is motivation to keep going.",2
2026-01-18,Ramon Sean Van Raad,5,To my West European vallues on Health,To my West European vallues on HealthAs ex pro Athlete . This program comes real close to adchieving goals to the maximum for general public . Nothing get missed with biomarkers full Spectrum blood works 4x a year .Verry Professional people on board,2
2026-01-11,Janice Duggins,5,My Lifeforce Journey,"I joined LF 17 months ago. With help of my clinician, Dr. Renae Thomas and the LF vitamins and other nutrients she has recommended I take, I have seen dramatic improvement in my health.",2
2026-01-07,Larry Zydek,5,One year with Lifeforce,"In December 2024, I made a decision. I committed to Lifeforce for one full year with one clear intention. I wanted to see what was truly possible for my health. One year later, I can say with total certainty that it has been a life-changing experience.Every interaction with the Lifeforce team is driven by passion, clarity, and results. From my dedicated clinician to the high-energy and empowering nutrition coach, to the friendly and highly responsive customer support team, everyone is focused on helping you win.With the guidance of my clinician, I have made extraordinary progress toward optimal health. My energy is higher, my body is stronger, and my mindset is sharper. At 59 years old, I genuinely feel better than I did twenty years ago. This experience is not about slowing down. It is about raising the standard for what is possible.",2
2026-01-05,Fred G. Fedok,5,Excellent Program,Excellent Program in every facet I have interacted with,2
2026-01-02,Susan Jerabek,1,I have had terrible from this so called…,I have had terrible from this so called nurse practitioner that ended with me having to call 911 to go to the hospital. Looking for ways to expose this agency after my neighbor has had similar problems. Whoever you're sending out to see us at home is sn absolute disgrace to her profession.,2
2025-12-29,customer,5,Jennifer is great!,Jennifer is great!,2
2025-12-27,Lynn Gunderson,5,Rachael Duran was insightful and kind,Rachael Duran was insightful and kind. She spoke with professional understanding and warm compassion. I ask for her to be my assigned clinician. I hope that message was delivered. My weakness is managing zoom calls.,2
2025-12-20,Colin Swanson,5,Total body knowledge,"Every interaction is professional, kind and very educational. Every person I've interacted with is very knowledgeable about the labs, exercise and other lifestyle markers and how they influence your health.",2
2025-12-16,Alex Wade,5,Excellent service for optimizing health and well-being,"I've had a fantastic experience with LifeForce - comprehensive blood panels (with in-home options!), a great webapp that always works and presents health data in an easy-to-understand and digestible manner, knowledgeable and friendly staff, and sound medical advise and coaching. I would definitely recommend them.",2
2025-12-14,customer,5,Very professional and helpful,Very professional and helpful,2
2025-12-12,David B,5,Very good communication with all…,Very good communication with all representatives especially my RN and lifecoach/dietitian.,2
2025-12-08,Mark I. Conway,5,The lifeforce people I have talked with…,The lifeforce people I have talked with thus far have been very knowledgeable and I feel they will be very helpful in this process !! ,3
2025-12-01,Rhonda D,5,I am loving my experience,I am loving my experience. The dashboard blows my mind and has helped me have the desire to be accountable to myself.,3
2025-11-30,Jack Rutledge,5,Emiy does a great job of explaining,"Emiy does a great job of explaining, is very professional and has a positive attitude. She also takes the time to listen which may be the most important attribute. She has been well prepared for every call and it is apparent that she looks at the pannel results before our calls.",3
2025-11-30,Andrew Rushing,5,My PA is really easy to talk to,My PA is really easy to talk to. The only thing I don't like is it takes to long to process orders. ,3
2025-11-26,William Recktenwald,5,Heather Kannheisser is amazing,Heather Kannheisser is amazing. Very knowledgable and caring,3
2025-11-23,George J,5,Quality partner in health journey ,I appreciate the professionalism and quality of information to help with my longevity health.The website is very user friendly.,3
2025-11-21,Travis G.,1,They Steal Your Money (Updated They are giving it back),"I have never felt like I just gave money away until I have used this company. I have tried sending them 4 emails to all email addresses, I have tried calling and only received a messaging machine everyday (apparently everyday they have so many calls they send you to an answering machine) I have never gotten a call back or a email back, the labs they performed were not able be used by my Dr. due to the time put on the labs, they were taken at 7:00am and yet labs say collection at 11:15. This is ridiculous and for the price that they charge you would think you would have access to talk to anyone, this company is overrated over priced and they give you nothing in return!UPDATE: So I finally got ahold of someone and their answer was sorry I don't know why we didn't get back to you, they can't issue a refund because I've already had my blood draw, wow because I thought the $149.00 was for more than just a blood draw. Once again you can go get a blood draw out of pocket for $50.00 overpriced overhyped and not worth the money, after that phone call if I could rate it lower than one star I wouldLAST UPDATE: So someone with life-force finally called me and was extremely apologetic and gave me a full refund, it was appreciated receiving a phone call from someone who understood my frustration.",3
2025-11-21,J P,1,"...celebrity owners, messy company !!","The good:Every one I communicated with was nice and mostly caring. From Quest Labs, Doctors, Coaches and the MULTIPLE CUSTOMER REPS I HAD to speak to ...The bad: 3 or 4 months of PAID monthly memberships, Zoom calls (plural) with doctors, hundreds of dollars per month on supplements and medications ... all for NOTHING !The Ugly: Tony Robbins ( big fan and follower here) and Dr Peter Diamandis own this company.I thought that would be synonym of high quality of experience as patient and great customer satisfaction but those big names meant NOTHING ! Yet you will pay PREMIUM for LESS than the same... Yes, everyone was nice to me, but they don't get the job done, no real problem fixing, no results, just blah blah...Here's my experience...Day one... Pay ! Sign up and pay monthly membership+blood test and schedule your blood technician visit, about 15 days waiting list from today. Day 15. Blood technician day . Mine came from Quest labs. This lady was phenomenal! Professional, caring, on time. Day 25. LifeForce received the blood test results and in your own private dashboard they are some questionare to fill out. Normally 30 minutes , except that the portal DIDN'T SAVE my answers 3 times!!! Day 30. PAY FOR THE NEW MONTH OF MEMBERSHIP. Schedule your zoom call with doctor. 15 days waiting from today. DAY 45. Zoom call with doctor day. She was nice and seemingly engaged in the consultation. She recommended $600 in supplements and directed me to another Doctor to address a concern of mine. Waiting list for the second doctor about 10 days. Supplements paid and ordered then. Day 60. PAY FOR A NEW MONTH. Zoom call day with second doctor. He recommended $300 of Medications which I paid and ordered right then. At this point Supplements HAVE NOT ARRIVED YET (15 days waiting so far)Day 70. I inquired about my supplements delivery (25 days waiting). They answered within 24 hours that supplements will arrive today and offered a felt apology for the delay. Day 80. Supplements have not arrived yet ( One month!) and Medications have not even been shipped yet (20 days) The explanation of WHY I had not received my supplements and medications was mostly senseless, polite but senseless. Every email is read and answer by a different customer rep at LifeForce. Often I felt that there was a cleared disconnection among the reps there, one person would said one thing and the other person would respond something comply differently or unrelated to the question and/or solution. Customer reps talked about problems with the shipping department, with the delivery company, website glitch, limited control over the processes, doctors miscommunication with the pharmacy, reps having to reach out to doctors and wait for them to respond, scaling my ticket and bla bla bla... Yes, people there were nice and seemingly caring but Not Effective. They ARE EFFECTIVE for their BOTTOM LINE, bleeding my credit card while I get to wait and wait for my PAID product to arrive. Before I knew it was time for my SECOND BLOOD TEST to compare and notice the improvements against my first blood test and after following the treatment suggested, BUT THE TREATMENT DID NOT ARRIVE !!!Needless to say I AM OUT , and of course beyond disappointed! What happened to the Business Mastery principle of: "" focus on delivering service better than your competitors"" Ironically Tony Robbins teaches that... Sight.",3
2025-11-20,Jess,5,High quality care and insightful…,"High quality care and insightful recommendations that align with my values and goals. Professional, empathetic and intelligent doctor who actively listens and involves me in the process of developing an individualized plan. Customer experience team that genuinely cares about addressing any issues or concerns in an efficient manner. ",3
2025-11-17,Kristie,5,Always quick to respond with accurate…,Always quick to respond with accurate information.,3
2025-11-11,customer,5,An experience you won't regret ,"To begin with the clinicians are outstanding, they are knowledgeable and genuinely care that you reach your health goals. I have been partnered with Lifeforce for a 1.5 years and my only regret was i didn't start sooner",3
2025-11-11,Linda Stromme,3,My account is a mix up and different…,My account is a mix up and different people tell me different things. Difficult to get answers. Kelly the coach has been the most helpful in being fair once she understood my situation. I don't believe anyone else there really gets it. I gave account questions and can't get straight answers. ,3
2025-11-10,Eleanor Bently,5,Great Wellness Solution!,Lifeforce is a Force in the desperate need of change for a failing healthcare system that hasn't worked for decades! Lifeforce has allowed me to become aware of and personally take control of my health and wellness needs with intention and reasonable expense that my insurance never covers. I was able to bring my age biomarkers to 15 years younger than I am!,3
2025-11-03,customer,5,Tino,Dr. Marino is tremendous!,3
2025-11-03,Mary Mc,5,Great support and advice!,Great advice from Kim on what I can do to keep improving my health! I like that I have the same OD as I did the last time.,3
2025-11-01,Joseph C,5,Life force give you the power,Life force is like everything else in life . It is a powerful tool but it requires you to follow through and if you do you will take charge of your health . I know feel I have control of my health and Lifeforce keeps me accountable by the quarterly bloodwork and consultations. ,3
2025-10-31,DJ,1,prescriptions will never be on time,"Your prescriptions will never be on time. This causes major hormonal fluctuations and physical discomfort. Incredibly unprofessional. Literally every RX over the course of a year was late or never arrived. When you finally reach support, they blame the pharmacy. It's not the pharmacy. ",3
2025-10-26,Matthew,5,This has changed my life,"This has changed my life. The access to the coaches, the access to the doctors detail to the blood work, and the quality of the supplements and access to prescriptions is unparalleled.",3
2025-10-19,customer,5,Love my doc,Love my doc! She listens to your thoughts and gives newThings to try. ,3
2025-10-13,Chad Denton,5,Marie really made me feel in control…,Marie really made me feel in control and gave me some hope in controlling my health. She laid out a workable strategy to meet my goals. I found her kindness and intelligence to be extraordinary. ,3
2025-10-12,Patricia Ellins,5,Great care and accountability,I am so pleased I joined LifeForce. I feel heard and understood regarding my health goals. Accountability and having a thorough plan at my fingertips helps me stay on track.,4
2025-10-07,Joe Roth,5,Love being with Lifeforce!,Great company. Great business model. Great providers. Love being with Lifeforce!,4
2025-10-05,Stephen,5,Optimize your physical and emotional well being!,"The quarterly blood tests and reviews with the doctors are extremely useful for detecting, tracking and optimizing possible issues with diet, genetics, hormones and physical health. The staff also consider emotional and lifestyle factors to improve your overall quality of life,",4
2025-10-01,Pete Gluhaich,5,They follow up. They care.,They follow up. I think/I know they care. The advice and guidance they give me is working. And working well. I am very happy being a part of this Lifeforce.,4
2025-09-28,Denise,5,The ease of the blood draw,"The ease of the blood draw, my physician and all the biomarkers that help narrow down what to concentrate on the most important issues.",4
2025-09-27,John,5,I get personal advice and specific recommendations,"I get personal advice, not one size fits all.",4
2025-09-26,Frank Greco,1,Very poorly run organization,"The website and automated responses and emails are well designed. Unfortunately that's where it ends. Every step of the process is poorly run. Scheduling the blood draw was difficult, getting the results took much longer than the time period advertised, the consult didn't happen because they didn't show up for it. The automated reminders work well but I wish they remind themselves to show up for it. Answers to basic questions take days or not at all. I was supposed to get 50+ biomarkers but only received 36. I had to cancel because I didn't want to continue to pay for no responses. I almost feel scammed but it really seems like a very poorly run organization.",4
2025-09-23,Brandon Schwartz,5,Highly recommended!,"The testing was easy and going over my results, with an action plan, was extremely informative! I received dietary insight, supplemental suggestions and additional information in areas I was looking for - highly recommended!",4
2025-09-21,Becky McCullough,5,From the blood draw to the…,"From the blood draw to the consultation, everyone was friendly and knowledgeable!",4
2025-09-18,S Corwin,1,Slow and mixed communication,"As noted by others, communication can be achingly slow. Initially, i received one shipment if the RXs that I had been using for eight years. I contacted Lifeforce when I noticed my RXs that I saw were ready to send to me never arrived. Multiple calls, texts and emails and no one could tell me what happened. I finally figured out that ONE of the rx was flagged bec. of a slight spike in my estrogen level. I was told on a telehealth visit and again in a lengthy and unclear clinician's note that I should ""go back"" to the original MD for my Bioidentical HRT. Figuring that out came weeks after my trying over and over to get my rx delivered. The spike in my ESTROGEN level did not explain why my Thyroid rx, progesterone and testosterone were cancelled. Many calls later, no one could explain. And, then a full month after I canceled my membership with Lifeforce I got two shipments one after the other. One had the testosterone I never needed and canceled in my dashboard, every time I saw it, the armour thyroid i needed two months prior and the progesterone. Maybe a week later, the other shipment arrived with another testosterone and progesterone. So frustrating and going without the complete protocol meant changes to my physique, my energy level, my brain function. I needed to go outside LIfeforce to finally get my thyroid support and all of the bioidentical HRTs that served me for almost 10 years. Lifeforce needs more information to reply to my complaint. I intend to send a direct message to Lifeforce along with the invoices for RXs that I hadn't ordered.",4
2025-09-16,Ralph,5,The clinician was very knowledgeable…,"The clinician was very knowledgeable and was helpful in making sense of the data and creating an action plan,",4
2025-09-14,customer,5,I look forward to my appointments,I look forward to my appointments. I get quality suggestions and my questions are answered by the clinician and my coach. I feel like I am more informed and can concentrate on a plan that works for me.,4
2025-09-02,customer,5,My personal consultant who is assigned…,My personal consultant who is assigned to me is outstanding. Super knowledgeable and makes numerous great suggestions to help me achieve my goals. Highly recommend!,4
2025-08-31,Jack,1,Not a very client focused company,I signed up for LIfeforce based on a google review of the products they offer. Seem pretty good. Found out after I signed up they offer a veterans discount. Had to cancel my subscription and resign up to get discount. Took a while to work this out. Communication is only through email which is very slow. Once I signed back up it took me a couple of weeks to do the labs. Labs completed and I am still waiting for the results to be read to see what I need. It's been 2 weeks. Again super slow to respond to any questions and set up treatment. I've already paid and right now I am still waiting for whatever the next step is. Not sure I will continue with this company.,4
2025-08-24,Jennifer,5,The clinician was so helpful,"The clinician was so helpful. I love I can get all the biomarker insights but then have 1:1 time with a doctor to get details on what everything means, answer my questions and build a plan specific to my unique results.",4
2025-08-23,Silvia,5,Being on the known about your health,"I am very happy with Lifeforce services!I take priority when it comes to my health, And I know I can trust this company to let me know if anything is not well in my body. I truly appreciate the fact that I can see my results from my bloodwork, and it is not just a simple physical they go into depth checking over 40 bio markers and then I get to go over all of this information with my clinician. I am very thankful to Lifefoce, to each and every person that makes possible this company!",4
2025-08-20,Jordan Santos,3,I wasn't informed that they aren't able…,I wasn't informed that they aren't able to ship certain products to some states. I specifically told a representative I wanted restoring cream. Well after subscribing and getting lab work I had my consultation with the dr. Since I live in Ohio they can't prescribe me testosterone cream. This should have been told to me in my initial inquiries when deciding to choose this company. I'm changing this to a 3 star for a 1 star review cause they did give me a full a refund.,4
2025-08-19,Steve Levine,5,Feeling younger and healthier,Lifeforce's approach to measuring and impacting health is super thoughtful. The science makes sense and the team is awesome. I feel younger and healthier and can't recommend Lifeforce enough!,4
2025-08-19,Joey G,5,"Great insights, great value","I love Lifeforce! I consider myself fairly fit and healthy but as I get older I want to make sure I stay that way. I heard about Lifeforce and have been getting the diagnostic test regularly for the last couple years and it has been really eye opening... I was really surprised to see my A1c a lot higher than I would have expected. The doc I consulted with gave me some great lifestyle tips to bring that back down and some other things simply to help me feel better or have more energy day to day. Also, don't sleep (ha...) on peak rest!! It's my favorite supplement of theirs... puts me right to sleep when nothing else does.",4
2025-08-19,Sara Elliott,5,Amazingly easy and informative,"Amazingly easy and informative! Blood draw was set up quickly and the phlebotomist was super nice and gentle. Received results sooner than I expected, which was great. The dashboard is very easy to read and understand and I love having access to this information for my PCP. Best decision!",4
2025-08-19,Customer,5,Sleeping Better than ever!,"Went through the company to help with issues my LP would not address because I was not at the typical age. I was able to speak to someone quickly, get an in home blood draw, and discuss with my Coach. I was given a treatment to choose from and chose what I wanted to prioritize. I have been sleeping the best and I can't wait to see how my numbers change over the next few quarters.",5
2025-08-05,Jon Pardi,1,I paid on July 21,"I paid on July 21, 2025, all communication since the beginning has been by text only..phone.line has message that they can't handle the volume of calls .person texting has gotten my phone number wrong and then told me ""if you have access to that (wrong ) number, check it for messages This was her response to my delayed outreach for the blood draw. Finally it was scheduled and the person texted me.saying they got a flat tire. Upon trying.to reschedule i was informed I had to wait another week if I could fit.into.her schedule.",5
2025-07-24,Corri A.,5,We joined Lifeforce in order to be proactive with our healthcare.,"We joined Lifeforce in order to be more proactive with our healthcare. We were tired of waiting until something was ""wrong"", then addressing it. We now have routine bloodwork done to ensure we're heading in the right direction, making slight adjustments as needed. We couldn't be happier!",5
2025-07-16,William Berkshire,1,No follow ups,"I enrolled in this program in November of 2024. According to the advertising, there was to be a first blood test with a follow up consultation (which did happen), and then every three months they said that they would conduct another at-home blood draw and consultation. Although I received the first blood test and consultation (and I subscribed to a supplement that was recommended) there was no subsequent notice that I should schedule any further blood tests, or any other correspondence from the company whatsoever. They continued to charge me monthly for membership and continued to send and charge me for the supplements through the end of June 2025, when my credit card was removed.",5
2025-06-27,Daniel Hill,1,They didn't seem to have time for me,"They didn't seem to have time to respond to my questions or concerns. They only ever wanted to give me more pills at every consultation, it's like they get bonuses for selling more products. They never once addressed my original concerns and that issue has only gotten worse since I started speaking with them a year and a half ago. I told them my concerns and it took them 4 days to send me a text update saying they were still waiting on clinicians to respond.They seemed great at first so it's very disappointing.",5
2025-06-26,Andrea Schunk,2,Inefficient platform,"I am frustrated with several aspects of the platform. First, it is not intuitive to navigate, and their website has glitches. For example, I cannot complete my health intake form because I can't proceed past the page where I enter my weight, even though I am following the required format.However, my main issue arises from my last provider appointment. A prescription medication was supposed to be added to my plan, but it wasn't. I had to call and text customer service repeatedly, which took much longer than they had promised. Eventually, it was added to my plan, but I was still required to enter it myself. I completed this several weeks ago, but I noticed it hasn't been charged yet, even though my other prescription was charged. I've had multiple bottles of that other medication sent to me due to their repeated shipments. The medication I need is for hormone replacement therapy (HRT), which I had been receiving from a different provider. I canceled that service, thinking I could streamline my medication management here. Now, nearly a month has passed, and I have received no indication that my HRT medication is on its way. I have never encountered such an inefficient platform. I will be canceling my account as soon as I manage to get my medications sorted out.",5
