date,author_name,rating,title,body,page_number
2025-06-19,David Flores,5,Lifeforce gave me the answers no one else could,"For most of my life, I've struggled with obesity—despite countless diets, workouts, and even visits to doctors. But no one could ever give me a clear explanation of what was actually happening inside my body. I was always told to ""eat less, move more,"" without understanding the deeper biological reasons why my body resisted change.That changed when I joined Lifeforce.The level of detail in the lab work, combined with the guidance I received from both my clinician and my health coach, helped me uncover the root causes—hormonal imbalances, metabolic issues, and mitochondrial dysfunction. These are things traditional doctors never discussed with me. For the first time, I understood why I've struggled for so long—and more importantly, how to fix it.Lifeforce isn't just about optimization for performance—it's a real, science-based solution to long-standing health issues that most people are stuck with because they don't have access to this level of insight.This program is helping me take control of my body in ways I never thought possible. If you've felt like your health journey has been a mystery, Lifeforce will give you the map.",5
2025-06-17,CHRIS SMITH,5,I've had an excellent experience from…,I've had an excellent experience from the start and on my second month. I am super pleased with the quality of the communication and review of the bloodwork results. I had some excellent recommendations that I've taken in and I feel amazing. My quality of life is much higher since starting this and I'm grateful for your services and supportive team!,5
2025-06-07,Leslie,5,Lifeforce experience…,"I came into this experience rather skeptical. I've been so pleased with the information provided to me. My glucose has been borderline high for years. With the coaching and the testing feedback, I've been able to lower this to a normal range. The products recommended for me have performed as promised and I've never been pressured into purchasing something I don't want.",5
2025-06-07,Joseph,5,Since joining Lifeforce,"Since joining Lifeforce, I've been very impressed with the companies professionalism, the advice I receive from the doctors, the quality of the supplements and the fact that I feel I have a greater opportunity to impact and control the future of my health. I highly recommend Lifeforce.",5
2025-06-06,Alexander,4,Blood draws have been good,"Blood draws have been good, i like the mobile service option. Dr Faustine is awesome and a great source of knowledge, guidance and support. Otherwise, i haven't had much success with the life-coach side of the equation. that could be improved.",5
2025-06-06,Mark,5,Dr Thomas is wonderful,Dr Thomas is wonderful,5
2025-06-06,JDH,5,Slow and steady,"Browsing through Trustpilot I'm really surprised to see the ""low"" average rating for Lifeforce. After reading some of the other deranged low reviews, I figured I would chime in with some positive support.It's now been over two years that I've been working with Lifeforce. Admittedly, much of my excitement for the program has tempered. My original hope was that by participating in Lifeforce I would soon become super-human. A fully optimized ""model""; feeling and looking the best I ever have in my life. The reality is much more subtle and boring than that. I do feel good, and there has been real and tangible progress on improving my biomarkers.I take many of the LF supplements, especially the proprietary mixes. Interestingly, they do not sell many of the supplements that they recommended for me - and two of those were the ones resulting in some of the greatest improvements to my personal biomarkers.I love and trust my doctor. And I think if she left, they might not be able to replace her.Update - shortly after my review I noticed a new formulation has been quietly released. And on checking I see that there has actually been at least one product reformulation - I was unaware of.",5
2025-06-06,Ohryn,4,I have good relationship with Dr Russ.,I have good relationship with Dr Russ.,5
2025-06-06,Roy,5,My overall health has increased…,My overall health has increased significantly!!,5
2025-06-06,Sandy,5,Very helpful analyzing the bloodwork…,Very helpful analyzing the bloodwork and answering any questions I have.,5
2025-06-04,JB Rider,2,Love the people . . . system needs work,"The people are great & very attentive. I always get a quick response from MANY people always happy to try and help. I can't say enough how much I LOVE the people.The what seems like an automated system can be a pain and not work properly. It also seems that when thing do go wrong, it is not easy for your personnel to adjust/correct the system.I might be wrong. I followed what I thought was the procedure at the time. It could have been because I downloaded my blood work paperwork before filling out the questionere completely the system was not happy.My new blood work was supposed to be loaded after the fix. In the past years, better draw-result-notification has been a maximum of a few days between me getting the results from the labs and being informed from LifeForce ""my data is in"". It has now been over a week.",5
2025-06-02,Paul,5,Order was fast,"Order was fast, easy and accurate",5
2025-06-01,Aaron Johnson,4,Updated review,Update to the previous review. After leaving my honest review based on my experience I was reached out to by the team at Life Force. They worked with me to immediately address my concerns. There were multiple follow ups and communication was great. This was drastically better than the first 1.5 months of my experience. I really appreciate the time and effort the team took to correct my situation and explain to me what was going on. I will update again in a few months and if this continues I will definitely be maxing the score. I really do appreciate the care and communication and the feedback that was accepted and acted upon. Great job and I am definitely giving them another chance.,5
2025-05-30,Gina,5,My appointment with Sophia Viner to…,"My appointment with Sophia Viner to review my results was the best appointment I have had since I was in Texas. No one else that I have met with since 2023, when I returned to Boston, has come close to the competence of Ms. Viner.",5
2025-05-30,Stephen,5,Very helpful service,Much more in depth than my primary care has ever gone. Discovered I had hormone issues that I likely was suffering from for years and my PC never addressed. First blood test with Life force and results were clear as day. Doctor gave me protocol for diet and a few supplements to take. Felt 10x better and like a fog had lifted. Health coach was helpful offering recipes and different foods to try.,6
2025-05-30,John,5,LifeForce is part of the foundation of good health,"I appreciate the consistent quality of the products and the well-researched information that is shared to help me and my family to improve our health. Our physician telehealth visit was comprehensive, compassionate, and an easy conversation to have.",6
2025-05-30,Charles,5,Dr.Antoniou has good answers and…,Dr.Antoniou has good answers and direction for me.,6
2025-05-30,Chris,1,If you want to know,"If you want to know, call me.",6
2025-05-27,James Hada,1,Supplements destroyed my liver,"I was prescribed several supplements to help improve my biomarkers. Instead of helping, the supplements destroyed my liver. I had a test by my PCP as part of my annual physical. My liver enzymes, ALT and AST, were normal for years before starting with Lifeforce. Once I started taking the supplements, my reading increased over 18 times my normal readings.",6
2025-05-06,Sarah Cagle,5,Game Changer,"Professional, streamlined experience with tangible results and action steps from clinical recommendations to health coach insight. As someone that depends on facts to help drive my decisions, being able to measure and track my improvement over time is a game changer.",6
2025-04-26,Joseph D'Cruz,4,"Good Options, Rather Pricey","My initial 1 star review peeked Lifeforce's attention after which they reached out to me to help clarify their offerings and also try to address my concerns. I appreciated the effort and have revised my review. Breaking down into the Good and Not So Good: The Good...- Nice, detailed graphical dashboard and review with clinician. - Diverse selection of supplements, prescription drugs options- Tips on physical fitness and dietary regimen to follow albeit no aha's here. You can find this info pretty well anywhere with a few search engine clicks. Not so Good...- Shipping of prescription drugs 7-10 days to process another 2 days to get the drugs, rather long. They explained why but frankly it is too long.-Dosing of prescription drugs and quantity provided is a little confusing, but easy to understand after they explained it. -$$$$- expensive monthly subscription fee plus the cost of drugs and supplements. Online Hormone Therapy has exploded, many choices available out there. They do offer a conciliatory annual maintenance program- 2 blood draws, dashboard statistics and discount on supplements, but this program does not include the interaction with a clinician and necessary prescriptions for drugs.",6
2025-04-22,MKL KLM,2,Like others recent reviews… Lifeforce multi year customer gone,"Like others recent reviews... Lifeforce, ""Tony"" et al have lost their way for the buck. In the end like all the rest. 2 year many thousands spent. Did it all. 2 quarters of bad/lost labs. Repeat draws and ""bad samples"" with 9 and 7 viles last two times. Cannot get your follow-up ""Dr"" consult for a month or more. Robbins fan for almost 30 years. Gone gone gone. This is health people not a rally.",6
2025-04-17,Elizabeth Steffers,2,Poor customer service,"Wow! Hard to get hold of anyone, my last phlebotomist was terrible! I was bruised for a week. I called last week and still waiting, I called again today so I am waiting. This is my last attempt. Then I will cancel.",6
2025-04-17,Jack W,1,"STAY AWAY, Worst ran company of all time","THE SERVICE SOUNDS GREAT BUT IS A SCAMUpon seeing the website, tests they offer, and so much more I was very interesting. However it ended up being the worst ran company I have ever encountered. STAY AWAY! I schedule a blood test at Labcorp and there was an error with the order. Thinking it was probably on LabCorps end I decided to schedule at home blood draw. They give a three hour time window, which is understandable, but THEY NEVER SHOWED UP. I reached out to support and they had nothing to say, they kept giving me instruction on how to schedule when I did it correctly and the appointment was confirmed on the website. It took me over 2 weeks to get in contact with someone and again, they had nothing to say, they refused to give me my money back on my subscription after they did not show up for my initial test. Why am I forced to pay for a service I can't use until you give me a test that YOU FAILED to provide. Absolutely ridiculous, this company has failed and only exists to keep making money, no one is putting in any work over there at Life force!!!Additionally, I tried reaching out on social media which they have not been active on for years. This company has no effort being put into it anymore it is just a collection of a few employees whose service is horrible and to just keep raking in that revenue from subscriptions, they don't care about the customers. (PS I'm not crazy the all caps are just so the important things get seen because no one should be putting a dollar towards this farce of a company)",6
2025-03-12,Dave S,5,Transformative program,"About three years ago, I found myself at a crossroads regarding my health and wellness. Feeling sluggish, unmotivated, and unhappy with my overall wellbeing, I knew I needed a change. That's when I discovered Lifeforce, a program that promised to help individuals like me reclaim their vitality and achieve a healthier lifestyle.From the very beginning, Lifeforce provided me with a comprehensive approach to health that felt holistic and personalized. The team was incredibly supportive, guiding me through assessments to understand my unique needs and setting achievable goals. I appreciated that Lifeforce didn't just focus on diet or exercise; it encouraged me to consider all aspects of my life, including mental health and stress management.Over the past three years, I have made significant progress. My energy levels have soared, I have optimized critical biomarkers, and I feel more vibrant than ever. The program introduced me to effective nutrition plans and exercise routines that I actually enjoy. I've learned to listen to my body and make choices that align with my health goals, which has been transformative.One of the most valuable aspects of my journey has been the coaching support. Sharing experiences and challenges has made the journey feel less isolating and more like a shared commitment.Reflecting on my journey, I can confidently say that I am in much better health than I was three years ago. My overall wellbeing has improved dramatically—both physically and mentally. Lifeforce has empowered me to take charge of my health, and I feel equipped to continue this positive trajectory.If you're considering a commitment to your health and wellness, I wholeheartedly recommend Lifeforce. It's not just a program; it's a lifestyle change that has the potential to transform your life for the better. Embrace the journey—your future self will thank you!",6
2025-03-08,Sara Lingenfelter,5,At age 44 I've had amazing results in my 6 months!,"I have so much to say; I joined Lifeforce about 6 months ago after having a yearly checkup with my doctor and was told at the age of 44 that the way I was feeling ""was just something women my age deal with about 10 years."" I was shocked a female doctor older than me was this dismissive about my low energy, weight gain, and my suspicion my hormones were changing. So I set out KNOWING there had to be a way to feel better, and I came across an ad on Facebook and felt I had nothing to lose. Other than hormones changing, I was a year out from a open shoulder surgery from a fully torn rotator cuff and SLAP tear, due to extreme pain after for 6 months and not sleeping I gained about 35 lbs. Since joining lifeforce I've had the amazing results:>>I have lost 30 lbs and still losing>>My cholesterol dropped into a healthy range as well as my A1C>>I found out the hormone issue and they are not at normal levels>>I no longer have any vitamin deficiencies >>I now sleep all night long without waking up (almost EVERY night)>>I am happier and have way more energy >>My biological age dropped from 55 to 33 (I am 44 about to turn 45)What's great about their support is that I live in a small town. The nurse comes to me to take my blood every three months, and once I get my results, I meet with a doctor to go over my results, plan and have questions answered. Then, I meet with my health coach to go over my plan and set goals. This has helped me make so many positive changes and good habits so that I reach my goals. Then, I can email or text her whenever I want support or feedback. And then you also have your own dashboard to log into to review your results, plan, and more. After each blood draw and appointment with my clinician, they will upload documents for me along with their notes. Documents are things like tips on exercise, food and more. Traditional medicine does not care about our health, but Lifeforce does. My entire experience has been amazing, and I am grateful for the support and overall improvement in my health. This is definitely worth the investment.",6
2025-03-08,Travis,5,Lifeforce is a comprehensive functional…,"Lifeforce is a comprehensive functional health solution that is perfect for someone busy because it is managed virtually. The customer service is responsive and effective at answering questions. My overall health, energy and focus has significantly improved working with my provider team.",6
2025-03-08,Ashley Padilla,2,Not anything special just like going to…,Not anything special just like going to a normal pill pushing pcp. Used to be different.,6
2025-03-08,Jenny Kauffman,4,The health coaches and doctors are…,The health coaches and doctors are fantastic. The scheduling time between blood lab results and scheduling the zoom doctor appoitments can be improved.,6
2025-03-08,Alexander Debord,5,LIFE CHANGING!,"I am a huge fan of Lifeforce and have been a member for just over 1/2 a year now (3 checkups). The program has been transformational for me and helped me to quit drinking and better understand how sleep, diet, and exercise affect me. For some background, I am a 34 year old Chief Financial Officer of a large helicopter company and have always been a hard charger. I also enjoy extreme physical activities like ultramarathons and mountaineering. All of this requires me to be at my best and while I have been successful, I knew there was more that I could be doing to increase my health and energy. The Lifeforce team has helped me to get on the right track and I have seen massive improvements in my blood lipids, energy, and weight (down ~30 lbs to 15% body fat). I am a huge evangelist for your program and have brought 4 new customers onto the platform so far.",6
2025-02-24,Meg Marsh,5,Truly changed my life,"I've been a lifeforce member for 2 years and its truly changed my life. I was able to identify a hormone imbalance my primary care doctor had overlooked, and Dr. Vanessa's guidance has me feeling like myself again, finally. I recommend Lifeforce to everyone I know who is feeling off, but can't get taken seriously by their doctors.",6
2025-02-21,JJ,5,"Convenient, expensive, but worth the price","I've been using Lifeforce for over 2 years.I get a blood test every three months. I love how convenient it is. Because they come to my house I actually do it, I know I wouldn't if I had to go somewhere. It's been really helpful for tracking my progress over time.I don't always use the doctor, but when I have they've been helpful. I got one of the advanced panels on my last draw and one of my markers was off. The doctor helped me understand what was wrong and how to fix it.It's expensive, but I don't think there's anything else quite like it anywhere else.",6
2025-02-09,Customer,5,Expensive but great.,"I was very pleased with the blood draw, markers check and clinicians knowledge on what I need to do naturally to fix many of my markers. The clinician listened to what I wanted, made recommendations and we came to a satisfactory plan. I was pleased with the health coach/life coach. I didn't think I would learn anything I don't already know, I was wrong. I have two complaints. It's pretty expensive and I think they should offer an annual deal and offer a spouse add on deal. It takes abo",6
2024-10-19,Charles Roberson,3,Its mixed,Its mixed. The testing and advise is good and the consultants are really good. The vitamins are pushed pretty hard and are overpriced by a lot.,7
2024-10-18,Carlos Mejia,2,I used to have every 1-2 weeks messages…,"I used to have every 1-2 weeks messages from my coach but has been around 2 months since I have not received a text from her.I think a coach needs to motivate you constantly but this has not been the case recently, I am not sure if I am going to continue long term due to this.I have had problems ordering supplements more than once, you need to improve this process, if the Doctor tells me that I need to take lets saya medicine, I waited about 2 months for it, in 3 months period this does not makes sense.",7
2024-10-18,Michael,5,My health results keep improving.,My health results keep improving.,7
2024-10-16,Hugh,4,Better Follow Up,Good experience but follow up needs improvement. Refills on scripts often not smooth and create gaps in cycle of admin of scripts. Coaching and nurse interaction needs improvement. Only constant is the MD.,7
2024-10-14,Linda,4,Review for Life Force Medical Services,"Review for Life Force Medical ServicesI've had a fantastic experience with Life Force Medical Services, and I highly recommend them for anyone serious about optimizing their health. The quarterly medical consultations have been invaluable, especially after undergoing detailed bloodwork that covers 50 key areas, including hormone levels, organ health, cholesterol, and triglycerides. The thorough breakdown of these results over time has given me a clear view of my progress, particularly in understanding my biological age compared to my chronological age. The insights from these consultations have helped me pinpoint areas where I can continue to make meaningful improvements.The ability to regularly refer back to the detailed reports has been incredibly inspiring. It's motivating to see the ongoing changes in my health metrics and adjust my lifestyle accordingly. Additionally, the Life Force team is exceptionally responsive; whenever I've had questions or medical concerns, they've been addressed promptly, often within a day.I also appreciate the extra resources they provide, such as informative updates and weekly chats that keep me informed about new ways to enhance my health journey. Their guidance on submitting Life Force subscriptions and prescriptions for medical reimbursement has been especially helpful, making that process much more accessible.Overall, Life Force has truly elevated my approach to health and wellness with their personalized and attentive service.",7
2024-10-14,BRod,2,Ok supplements; Not a well run company,"I was a member for over 2yrs (over $11,000 total) and saw drastic changes over that time. The first 9mons were great. I always had the same provider and lab technician. Then they switched lab vendors. Never communicated the change beforehand. There were so many errors and difficulties scheduling. They ended up going back to the original lab vendor. Some months later they switched to a different vendor Lab corp who would ask for my insurance info each time. I complained to Lifeforce since I was already paying via the membership. The lab technicians did not seem to know this and would insist on an insurance card every time. They were also less experienced. I had to reschedule my blood work b/c the first technician could not draw my blood. Then there were the cancellations especially if you booked on a Monday morning. The test results would then show up on the original date of scheduling and not the actual date of testing. Then my provider was switched up. At one point during the telehealth he asked me what I did for a profession so he could know if he needed to dumb down our conversation. The very last straw was they changed the formula for a few supplements without informing customers beforehand. Two of the supplements (vitamin d&k and omega) were in white powdery viles. The new vitamin d viles looked exactly like the dhea. This is wrong on so many levels. The following month the omega supplement was back in its original gel like form. Again no communication. When I contacted the mylifeforce customer support. Nothing. All they do is parrot back your concern. Nothing really gets fixed. So what's good? The articles are useful and a lot more comprehensive than when I started the program. Some of these products may be ok but the management of it is really bad.",7
2024-10-13,Meg,5,Lifechanging,"Dr. Vanessa is truly everything I've ever wanted in a doctor, and Lifeforce has changed my life. I recommend it to everyone.",7
2024-10-12,Byron,4,"Healthcare for Longevity, Fitness and Wellbeing","I like the concept of healthcare for longevity, fitness and wellbeing. During the consultation the emphasis is on patient responsibility to make changes to improve health and lifestyle, while providing support with supplements, diet recommendations, training tips, etc.",7
2024-10-12,Kate,4,Modern Approach to Healthcare,Cutting-edge research; access to qualified technicians & coaches; knowledge-based data/information/education; ease of access,7
2024-10-12,Tasha,4,I love Lifeforce,"I love Lifeforce! Some improvements with communication and lag times with lab draws are an issue with me, however. It sometimes takes weeks to hear back from someone and truly feel like this needs to be improved. I do feel better! Love the nutraceuticals! My provider is caring and knowledgeable. My Lifeforce coach is insightful & authentic, however I would like to hear from him more. Again, communication across the board could be greatly improved. Thank you for all that you do.",7
2024-10-11,Debbie Beavers,5,Super speedy results,Super speedy results,7
2024-10-11,Lauren Cooper,4,I enjoy the interact with the Dr,I enjoy the interact with the Dr. The cost is high and somewhat restrictive. I've not found the coaching helpful but acknowledge it's not useful to me as I'm motivated already,7
2024-10-11,Lori,2,I couldn't get on Zoom for my…,"I couldn't get on Zoom for my appointment. It was difficult to make a new one. I noticed that when I got my last blood test, they forgot to do my T3 free and four.",7
2024-10-11,william shepard,2,Had to wait a long time for meeting…,Had to wait a long time for meeting with doctor after blood work was done. For the next blood work (90 days later) the doctor I had the first time was not available for a month and a half. That was to long to wait. The first doctor had recommended a significant change in my diet. I didn't agree with the changes but figured I would give it a try. My next blood work was really bad. That coupled with not being able to talk to the original guy was to much. There were multiple other problems too. So I decided to change and go with somebody else. I was real disappointed because I had read TR's book and was excited about working with LifeForce.,7
2024-10-11,Bijan,3,It's hard to get an appointment with…,"It's hard to get an appointment with the same doctor. The second blood test, didn't evaluate all different measures as the first one, so I feel cheated.",7
2024-10-11,Janet Pretti,4,I have appreciated the in-depth blood…,I have appreciated the in-depth blood tests and the follow-up conversations. The price for all of the supplements doesn't seem to be competitive,7
2024-10-11,Cynthia,5,The lab technicians are so nice and…,The lab technicians are so nice and very personable.,7
2024-09-24,Tom Loiensky,2,Started off great,"Started off great, but ran into serious issues.I like the overall concept, at about $2k a year, you get 3 to 4 blood draws a year with a consultation with a doctor / health coach. About 15 mins each. Home visit blood draw! Friendly staff.My issues:-expensive-blood draws are quarterly BUT you have to be on top of it to schedule it, so if you forget and wait 4 or 5 months then you only get 2 maybe 3 blood draws. -most months you are paying a monthly fee and getting no service from them-supplement discount is nice but more expensive than the open market.-my at home blood draw was cancelled 3x and i ended up having to go in to lapcorp. Ugh.-that delay was 3 weeks, pushing my next test date out.-my zoom call wouldn't connect so i had to reschedule but appoints are a whopping 3 weeks out minimum (my assumption is to keep you on the subscription plan longer without having to do more blood draws / consultations.)I cancelled after 1 year. I will probably just go with function health, they are about $500 year for better panels and 25% of the cost but no consultation.",7
2024-07-25,J J,5,"Dr. Erin Faules is a phenomenal doctor whose expertise, empathy, and dedication make her a standout in the field of medicine.","I recently had the pleasure of working with Dr. Erin Faules, DO, through mylifeforce.com, and I am compelled to share my exceptional experience. Dr. Faules is an outstanding physician who helped me understand my lab results and recommended an effective course of action tailored to my individual needs.Her extensive background in Osteopathic Medicine, is evident in her comprehensive approach to healthcare. She is not only knowledgeable but also DEEPLY compassionate, making her an invaluable asset to anyone seeking to optimize their health and longevity.She takes the time to understand each patient's unique health profile and provides personalized recommendations that are both practical and effective. Her guidance will been instrumental in helping me navigate my health journey with confidence and clarity.Moreover, Dr. Faules' affiliation with mylifeforce.com ensures that she stays at the forefront of medical advancements, offering cutting-edge solutions that are backed by the latest research. Her holistic approach, which integrates lifestyle modifications with medical interventions, has made a significant positive impact on my overall well-being.In summary, Dr. Erin Faules is a phenomenal doctor whose expertise, empathy, and dedication make her a standout in the field of medicine. I highly recommend her to anyone looking for a physician who truly cares about their health and is committed to helping them achieve their best possible self.Jesse and Via",7
2024-05-16,Aaron Smith,5,Better to Know than not Know,"As a 51 year old guy who still likes to charge hard, keep up with his young boys, and wanting to be there for his family for the long haul - staying in optimal shape is super important to me. Lifeforce has made it easy for me to have critical labs done in the convenience of my home through flexible online scheduling, quick results, and keeps me on a regular cadence to monitor change as my body ages. Getting the results is one thing (this is not your typical lab results output) but what I really like is the simplicity of the user interface that allows me to easily understand the results followed up by a tele-health visit. I have health conditions and take medications - my provider was aware of this and the conversation was reflective of my unique health profile. While Lifeforce also provides supplements that can help support optimal health and at no point have I felt pressure to buy. There are certain supplements I cannot take and what I appreciated is that the provider helped with alternate solutions that were not necessarily supplement based - again based on my own unique needs and health status. I'm a huge Lifeforce fan - I'd rather know my numbers and be able to do something about it now versus waiting and it be too late.",7
2024-12-31,Louis Santoro,1,Lifeforce initially started to be an…,"Lifeforce initially started to be an interesting concept, but I discovered they are not reachable, then I discovered my name, address and orders have been changed to a persons name who I do not know or associated with. I am now paying for someone in the state of New York, and I reside in California. Not too thrilled, Lifeforce will not return my call.Thank you for responding finally. I sent this review in December of 2024 and I received your response to this review on June 6, 2025. Very efficient",8
2024-11-13,Sharif Morshed,1,Horrible experience,"I waited 14 days for the results after the blood draw was done. Then, I called them. No one responded. So, I emailed them. They replied that they have no record of the blood draw. What type of company lose the blood test results? So, it feels to me like a scam company. Just wondering about other reviews if all of them are legit.Update: Hi Lifeforce, I called you today also. No one responed, it went to the voice and no one called back. It seems to me that you are more active on Trustpilot than your own company. Or, you are using AI bot.",8
2024-10-29,Hector,5,I have had a good experience so far.,I have had a good experience so far.,8
2024-10-29,Steven,1,So far the products have been late or…,So far the products have been late or damaged or both.My trip is still not here and after inquiring about this over the weekend I've still not heard back.,8
2024-10-29,Erik,5,Better than I expected,"I've only been a Lifeforce member for a few months, but so far, so good. The initial customer support was better than I expected, and they helped me schedule an in-home blood draw right after I signed up. I got my results a few days later and was impressed with how well the website showed all the data.I had my first Zoom with a Lifeforce medical professional, and she went over my results in detail. She recommended a few lifestyle changes and a few supplements. I appreciated that she wasn't pushy at all, so I've tried two of the supplements, and they seem to be having a positive effect. I'm pleasantly surprised that everything is as advertised so far.",8
2024-10-29,Michael,4,"I loved the information, but lacked the discipline","I enjoyed the blood test and resulting information. Speaking with a doctor to clarify where I am and where I need to go. However, I was not using any of the other available resources.",8
2024-10-29,William,4,Blood draw was easy to schedule and…,Blood draw was easy to schedule and tech was on time and very friendly,8
2024-10-29,Meg,5,Responsive,"Responsive, helpful and timely.",8
2024-10-28,NOREEN SUSSMAN,5,Personable,"Personable, knowledgeable, and very informative on a wide range of areas",8
2024-10-25,Manuel,5,Customer Servivehey response to my questions in a…,They response to my questions in a timely manner.,8
2024-10-25,Drew,5,Five stars for life force and my DO…,Five stars for life force and my DO overall.,8
2024-10-23,customer,4,Lifeforce: your guide to proactive health,"Lifeforce is definitely the team of people who I've been looking for to guide me on how to be more proactive on my health. I've learned a lot of my body/stress/hormone imbalance. The only thing I'd suggest to improve is the automated algorithm that buckets the biomaker results into risk levels for cardiovascular, dementia, osteoporosis, cancer and metabolic risk. I came up with high dementia risk (without having any family history of dementia) and even my Lifeforce clinician disagreed with that assessment.",8
2024-10-22,Margaret Coley,2,"I think the idea of Lifeforce is great, I just wish there was more","I think the idea of Lifeforce is awesome. Unfortunately, I feel like I am paying monthly so I can do the blood draw once a month. I really wish there were on on one's scheduled with the coaches to help with the accountability part.",8
2024-10-22,Bill,1,No follow up contact with me.Zero,No follow up contact with me.Zero. All I got was a blood test with that 400.00 fee,8
2024-10-22,Claudia,3,I am sort of disappointed because I…,"I am sort of disappointed because I feel like they don't follow up with things. If they don't have any issues collecting my monthly dues, I would expect them to follow through with their promises.",8
2024-10-22,Jean,4,Hormone Therapy,I really like the Lifeforce model of overseeing your health. I do have a few things I think should be changed in your system. I would love for Lifeforce to handle my hormone therapy but the decision that I have to have a Mammogram before they will prescribe is not in my opinion good. I have had a thermogram which is just as good and better for you than the mammogram. Anyway those are my thoughts.,8
2024-10-22,Matthew,3,Lifeforce Doctor's Misleading Advice,"To have a Dr that works for a company like Lifeforce tell me to avoid all oils when cooking, including olive oil, because of my borderline high cholesterol, seems downright irresponsible to me. Olive oil can help lower LDL while increasing HDL. He didn't describe the fact that not all olive oils are created equal, or to be careful which one you buy. He made a blanket statement to avoid all oils. He also told me, a 43 year old male with very low testosterone (307ng/dl) that I'm ""too young for TRT."" First of all, I'm not too young for anything. The reason I came to life-force is for a different experience, unlike the traditional medicine approach where if you fall into very old reference ranges then there is nothing to be done. Correct me if I'm wrong, but life-force is about adding years to your life and THRIVING in those years. That being said, a statement such is that is a very ignorant things to say in my opinion and doesn't align with what I thought life-force was all about.",8
2024-10-22,Martha Teresa,5,I feel better,I already feel better after two months of taking supplements and following their advice.,8
2024-10-22,Jose,3,Lifeforce support response on my…,Lifeforce support response on my prescriprion supply issue took many days..,8
2024-10-20,Param Bajwa,5,Game Changing Health Support,"I love this service. The fact that they send someone to your home every quarter for the blood draw is a game changer. Plus, the LifeForce doctors are wonderful - they know their stuff and customize a regimen for each patient. I love that - I have a 360 degree view of my health and know what needs to be done without pharmaceuticals. Yay!",8
